2020-04-19 15:04:427 INFO  HomePage :56 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (26cf1e6880c85d7ee1ef4c5578ee505a)] -> link text: Register]
2020-04-19 15:04:94 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:866 INFO  HomePage :64 - Clicking on Login link : Proxy element for: DefaultElementLocator 'By.linkText: Log In'
2020-04-19 15:04:942 INFO  LoginPage :31 - Displaying Login Page Text : [[ChromeDriver: chrome on WINDOWS (140d3292bdd5a59e80a9cb79b01cffab)] -> xpath: //strong[contains(text(),'Quick, safe and convenient')]]
2020-04-19 15:04:985 INFO  LoginPage :36 - Displaying Login Page Text : [[ChromeDriver: chrome on WINDOWS (140d3292bdd5a59e80a9cb79b01cffab)] -> xpath: //strong[contains(text(),'Quick, safe and convenient')]]
2020-04-19 15:04:107 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:826 INFO  HomePage :64 - Clicking on Login link : Proxy element for: DefaultElementLocator 'By.linkText: Log In'
2020-04-19 15:04:256 INFO  LoginPage :43 - Clicking on Register Link : Proxy element for: DefaultElementLocator 'By.linkText: Register now'
2020-04-19 15:04:334 INFO  RegisterPage :27 - Displaying Register Page Text : [[ChromeDriver: chrome on WINDOWS (56cf88ba0f3699c8a5820a5edf55da0d)] -> xpath: //h2[@class='h2 jumbo-title']]
2020-04-19 15:04:366 INFO  RegisterPage :33 - Displaying Register Page Text : [[ChromeDriver: chrome on WINDOWS (56cf88ba0f3699c8a5820a5edf55da0d)] -> xpath: //h2[@class='h2 jumbo-title']]
2020-04-19 15:04:559 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:420 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:139 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 16:04:731 INFO  HomePage :55 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (88a4cd2d8ddce45f7b5e31dd1545a8f7)] -> link text: Register]
